cx,cy,cyaw,ck
671849.7428420715,3529970.723828962,-3.0585841959906164,0.01094603584293043
671848.7413405768,3529970.6405044,-3.047583626202198,0.01094603584293043
671847.7400248968,3529970.5460933973,-3.048302853374001,-0.0007151104375303184
671846.7292505584,3529970.4515239564,-3.0701163927202777,-0.021485472582004082
671845.7181045617,3529970.379127692,-3.0810440975593054,-0.01077943817225326
671844.7067727349,3529970.317818069,-3.1248332449773164,-0.04320534097442978
671843.7041562649,3529970.3010132364,3.1251913042446318,-0.03306351503985365
671842.7009823386,3529970.317468118,3.0927206721698606,-0.03235785855634012
671841.6877923206,3529970.3670241823,3.0361712974388606,-0.05571685022279447
671840.6925905221,3529970.4723301064,2.9708121012720516,-0.06526322286990195
671839.6962738513,3529970.64415536,2.8547058310521614,-0.11458235164423955
671838.7359336487,3529970.9274802236,2.7278932776669937,-0.1263134876556567
671837.8113841242,3529971.3333912217,2.5578819001024615,-0.16756309991449375
671836.9599024407,3529971.895782082,2.4003252152502075,-0.15376221829208475
671836.2104219925,3529972.5818687533,2.229761979681585,-0.16704985510565384
671835.591504525,3529973.3810402593,2.0423710808276914,-0.1843040469388771
671835.1317117593,3529974.282685624,1.9093839636800307,-0.1310084990194373
671834.7939523462,3529975.24182456,1.7954036691442143,-0.11184656947441113
671834.5693250513,3529976.2250389117,1.699588912400017,-0.09485743435984502
671834.43891256,3529977.2320116214,1.6632467609119472,-0.035783712150699316
671834.3465204497,3529978.2285319013,1.6538148939909982,-0.009424242629366232
671834.2635869874,3529979.22521071,1.6717342805746915,0.017916218604718905
671834.1615504503,3529980.232659005,1.672665107384196,0.0009192420634846343
671834.0596997389,3529981.2290207637,1.6632467173091445,-0.009403638016794499
671833.9673076719,3529982.225541049,1.6820683535057783,0.018805590081877592
671833.8559983486,3529983.2217442836,1.6820683393216036,-1.4150179911809286e-08
671833.7446890394,3529984.217947519,1.6914548574571455,0.009363884145813952
671833.6239211129,3529985.2139922283,1.6903211456311877,-0.0011299382652763515
671833.5029673942,3529986.22112348,1.6903211345235403,-1.09503094757669e-08
671833.3820136868,3529987.2282547317,1.6995887404633756,0.009136201103309172
671833.2516013694,3529988.2352274586,1.6995887224820332,-1.77089362434401e-08
671833.1211890698,3529989.2422001893,1.7008229639398538,0.001215543155545451
671832.9909625989,3529990.2380863815,1.7088370235815171,0.00797914810074915
671832.8510917096,3529991.2449005875,1.719497965473526,0.010487863225905586
671832.701948025,3529992.2404697333,1.7088369831343846,-0.010590053873980484
671832.5620771765,3529993.247283944,1.7194979234782182,0.010487861713347224
671832.4129335346,3529994.2428530906,1.710171129586744,-0.00926478312874482
671832.2732485365,3529995.2385807675,1.710171109658466,-1.9819710692104293e-08
671832.1335635583,3529996.2343084468,1.6995885726159077,-0.010524687918739254
671832.0031514104,3529997.241281192,1.7008228130497225,0.0012155421532205836
671831.87292509,3529998.2371674017,1.7008227949454446,-1.80256033671922e-08
671831.742698788,3529999.233053612,1.6903209051583972,-0.010456060308935776
671831.6217453118,3530000.24018489,1.6914545808951362,0.0011176171763140918
671831.5009776611,3530001.2362296293,1.682068047690999,-0.009355154781834858
671831.3896686424,3530002.2324328977,1.6903208582935783,0.008232937790762448
671831.2687152135,3530003.239564181,1.6726647697717916,-0.01740508875056245
671831.1668648382,3530004.2359259767,1.6726647576042084,-1.2148704644945956e-08
671831.065014475,3530005.232287774,1.6726647448322545,-1.275213754230647e-08
671830.9631641244,3530006.228649574,1.6632463733176726,-0.009403619443306026
671830.8707723995,3530007.2251698994,1.6632463648792382,-8.431737969407809e-09
671830.7783806828,3530008.2216902273,1.6431383099965853,-0.020090744157039906
671830.7045345792,3530009.2407006864,1.63439736566719,-0.008555330265620761
671830.6403328978,3530010.248783132,1.6156734368088093,-0.01853517028079092
671830.5950484383,3530011.257182628,1.5969297757938512,-0.01856773374024514
671830.5686811929,3530012.265899178,1.5690097973046044,-0.027665669750506047
671830.5705039528,3530013.2861778433,1.5594358798152432,-0.009383471673581079
671830.5819711207,3530014.2955284943,1.5407119778699865,-0.018548162353459206
671830.6123554835,3530015.3051962014,1.5500706606927768,0.009264742650242283
671830.63328123,3530016.314705382,1.568806092930243,0.0185538804281451
671830.635289761,3530017.3238975145,1.6530884681660656,0.08341569228614594
671830.5521708762,3530018.331662919,1.7456070047859147,0.09136447841240712
671830.3744659957,3530019.3378430693,1.9128674458887278,0.16293740608304277
671830.0368940055,3530020.2858955977,2.0804982577276485,0.16579256508383453
671829.5394549392,3530021.175820521,2.3082243007594863,0.22144130757494568
671828.8647181065,3530021.9186084936,2.5526005690019415,0.2411083123549434
671828.0226995398,3530022.481158455,2.7756534725271194,0.21844484272731296
671827.0799810129,3530022.842407028,3.0142379891438558,0.23408873450615758
671826.0844128862,3530022.9698872287,-3.0265634216713044,0.23913350936363728
671825.0740152874,3530022.853146621,-2.7867053237965163,0.23356629685233682
671824.133729707,3530022.504698427,-2.5804713246400146,0.20420895192853764
671823.2817300791,3530021.9692058237,-2.339335597885152,0.23730871545552717
671822.5842265475,3530021.2477784217,-2.131184240479855,0.20593521324425518
671822.049748703,3530020.3960074023,-1.9486228503265126,0.18054252425604472
671821.6775533612,3530019.4582388955,-1.840159972058852,0.10729225232139654
671821.4099599485,3530018.488954476,-1.676654991307552,0.16187998825822095
671821.3037201032,3530017.4891052363,-1.6289018659587808,0.04747492491591357
671821.2449590428,3530016.4789620438,-1.6008815780909589,0.027688489403629758
671821.2145737701,3530015.4692944037,-1.5725837509074014,0.028010451883206004
671821.2127500975,3530014.449015778,-1.5540389024790473,0.018175188025669954
671821.2296578275,3530013.4401407237,-1.516961936553876,0.03673722220687225
671821.2845857764,3530012.4208132015,-1.516554873734586,0.00039876593027781006
671821.3393279292,3530011.4125722176,-1.507196193461038,0.00926839925718567
671821.4035286952,3530010.4044897533,-1.5071961884589573,4.9519436538387745e-09
671821.4677294664,3530009.396407288,-1.4984552446911799,0.008653220826552623
671821.5415746488,3530008.3773968033,-1.4978457039568867,0.0005966047132305973
671821.6152340415,3530007.369472858,-1.5071961741340771,-0.009252151143555619
671821.6794348268,3530006.3613903974,-1.498455225089578,0.00865322608226218
671821.7532800289,3530005.3423799183,-1.4885050338527472,0.00973886254348427
671821.8363980547,3530004.334614492,-1.4877789886877595,0.0007180124784325091
671821.9193302898,3530003.3379356083,-1.4885050186742224,-0.0007259404368770122
671822.0024483305,3530002.330170188,-1.4877789712493104,0.0007180147167675048
671822.085380583,3530001.3334913063,-1.498455187451097,-0.010674697534965222
671822.1592258232,3530000.3144808323,-1.497845646430515,0.0005966049972393696
671822.2328852734,3529999.3065568977,-1.4984551739090177,-0.0006031271278878672
671822.3067305274,3529998.2875464256,-1.4885049754630075,0.00973886962995304
671822.3898486113,3529997.2797810133,-1.4877789324287563,0.0007180103777655651
671822.4727809022,3529996.283102138,-1.4877789214475299,1.0979872964982625e-08
671822.555713204,3529995.2864232636,-1.4877789125158698,8.930559193331057e-09
671822.6386455145,3529994.289744392,-1.4885049432252302,-0.0007259411639027157
671822.7217636307,3529993.281978984,-1.487778894961594,0.0007180155503705482
671822.8046959586,3529992.2853001156,-1.4885049259778904,-0.0007259414721147027
671822.8878140922,3529991.2775347093,-1.4791756886872618,0.009225889252192213
671822.9803908636,3529990.269927822,-1.4791756783760242,1.0190472131546644e-08
671823.0729676455,3529989.262320935,-1.4783470129824652,0.0008189599446026307
671823.1653586358,3529988.265800589,-1.478346999838112,1.3133923105750939e-08
671823.2577496392,3529987.2692802455,-1.4791756466775479,-0.000827989212587845
671823.3503264529,3529986.261673363,-1.4791756363545627,1.0202081878527679e-08
671823.4429032769,3529985.2540664817,-1.4791756278108337,8.443664631333997e-09
671823.5354801093,3529984.246459604,-1.4799863579789967,-0.0008012347867706654
671823.6282427544,3529983.2277661883,-1.468928569383947,0.010809927286093536
671823.7300924419,3529982.2314043688,-1.4783469352017364,-0.009403614206050247
671823.8224835094,3529981.234884034,-1.4791755827498538,-0.0008279899230963604
671823.9150603872,3529980.22727716,-1.468928531377978,0.010126860404024456
671824.0169101126,3529979.230915345,-1.4783469050048559,-0.009403622005697483
671824.10930121,3529978.2343950146,-1.4698593491475505,0.008480719189605584
671824.2113367594,3529977.226946663,-1.4783468803937088,-0.008381799325204798
671824.3037278814,3529976.230426335,-1.4689284834908591,0.009410784302523496
671824.4055776543,3529975.2340645264,-1.4707700634218315,-0.0018387216867990584
671824.5077990375,3529974.215529641,-1.4689284585513218,0.0017990534035366374
671824.609648835,3529973.219167837,-1.4689284459263476,1.2605386662160211e-08
671824.7114986454,3529972.222806032,-1.4698592759998241,-0.0009293857591148653
671824.8135342682,3529971.21535769,-1.4707700142414744,-0.0008994035571729404
671824.9157557014,3529970.1968228114,-1.4799862034120177,-0.0090031208319279
671825.0085185033,3529969.1781294174,-1.4783467922614926,0.0016026955592034567
671825.1009097128,3529968.1816091,-1.4698592280869616,0.008480727522246465
671825.2029453836,3529967.1741607664,-1.4885046747316364,-0.018412328569591917
671825.2860637693,3529966.166395395,-1.4707699540840624,0.017537593090519613
671825.3882852634,3529965.147860525,-1.4783467487745152,-0.007401661362781467
671825.4806765162,3529964.1513402136,-1.4877786065517815,-0.009424233941909717
671825.5636091301,3529963.1546613863,-1.4885046370656854,-0.0007259409822094115
671825.6467275533,3529962.1468960224,-1.4877785914719428,0.0007180129234036493
671825.7296601823,3529961.1502171964,-1.4978453109581318,-0.010065308974092762
671825.8033199685,3529960.1422933144,-1.4885046143499634,0.009242480939077452
671825.8864384146,3529959.1345279533,-1.5077042452884093,-0.01898604928204244
671825.9508253599,3529958.115359018,-1.4978452926664099,0.009654118241588305
671826.0244851643,3529957.107435141,-1.507195804224396,-0.009252192438301915
671826.0886863199,3529956.0993527467,-1.5165545275541812,-0.009264783593425632
671826.1434288189,3529955.0911118337,-1.5173599038929013,-0.0007976186580659938
671826.198542925,3529954.060697848,-1.5169615833000878,0.0003860118657090436
671826.253471231,3529953.0413703993,-1.5259198203367543,-0.00877553062148265
671826.2987550775,3529952.032970972,-1.535290058749183,-0.009282698298578545
671826.3345802624,3529951.0244130264,-1.525919816253939,0.009284741263747315
671826.3798641129,3529950.0160136027,-1.5352900612034888,-0.009282704807028856
671826.4156892953,3529949.0074556596,-1.5354938005744536,-0.0002018832510673978
671826.4517002823,3529947.98781118,-1.5352900599360095,0.0001996908692312095
671826.4875254658,3529946.97925324,-1.5262252989536769,0.008982055677573389
671826.5329951164,3529945.959767282,-1.5352900601010544,-0.008882549709212052
671826.5688202997,3529944.951209344,-1.5259198145609485,0.00928474434977274
671826.6141041516,3529943.9428099273,-1.525919810989336,3.538297005233602e-09
671826.6593880071,3529942.9344105106,-1.5354938036074788,-0.00948454295477722
671826.6953989908,3529941.914766039,-1.5262252942977617,0.009084148467971882
671826.7408686458,3529940.8952800883,-1.5259198079641356,0.00029934982715139346
671826.7861525043,3529939.886880675,-1.5352900600367816,-0.009282711954221302
671826.8219776873,3529938.878322745,-1.5352900604651503,-4.2446598034957233e-10
671826.8578028699,3529937.8697648165,-1.516554492096979,0.018563796654113163
671826.9125454036,3529936.861523925,-1.4877784487185899,0.028494932623777895
671826.995478173,3529935.864845132,-1.4235282848502253,0.06419805733180046
671827.144807496,3529934.858189434,-1.337029162306913,0.08489115718699708
671827.37889335,3529933.8751334855,-1.2110172740775709,0.12436757641339442
671827.7353846761,3529932.9273979096,-1.0423491852550273,0.16578630869667857
671828.2419143419,3529932.0598044274,-0.8189610357076527,0.22051285377829766
671828.9259294111,3529931.328261312,-0.5837099110335967,0.2327346482814392
671829.7774138079,3529930.76586969,-0.35570621723572743,0.22150445681075862
671830.7199548455,3529930.41570758,-0.11516222566938586,0.23693177055859949
671831.7248048229,3529930.2994725155,0.11502844257807102,0.22555789879937155
671832.735211581,3529930.416213373,0.36527753399479407,0.24347495543791928
671833.6753197856,3529930.775748497,0.5898325006641315,0.22123158545966418
671834.5080378846,3529931.333097615,0.8311371614857144,0.23848635433721324
671835.1862582441,3529932.0763815343,1.0322080462618815,0.19848661899045017
671835.701637036,3529932.9389224667,1.2319623750333941,0.1974836637382225
671836.0358143495,3529933.8871437185,1.358940446337957,0.12595889858218395
671836.2464713454,3529934.866563744,1.4463070204733102,0.08709710206668544
671836.371628576,3529935.866730105,1.51186252812269,0.06499079427177275
671836.4305750406,3529936.8657867764,1.5597412723849882,0.04782247577352972
671836.441856488,3529937.886223887,1.58755479013022,0.027251294738396364
671836.4249477105,3529938.89509888,1.5875547945215889,4.352127153784787e-09
671836.4080389285,3529939.9039738723,1.5969299919025992,0.009291283528996736
671836.3816714672,3529940.9126903387,1.5968280934849808,-0.00010098340427283734
671836.3551181951,3529941.9324933444,1.606099791728294,0.00908844559032498
671836.3191062497,3529942.9521378237,1.606303535870886,0.00019969429719754385
671836.2832801146,3529943.9606957664,1.6063035387863174,2.8888711590044604e-09
671836.2474539765,3529944.9692537114,1.6063035387863174,2.8888711590044604e-09
